AIPGENE17046_gene	-0.510	0.000	K05656	ABC transporter	Swiss-Prot	sp	Q54BU4	ABCB1_DICDI			
AIPGENE21283_gene	-0.289	-0.005	K01990	ABC transporter	Swiss-Prot	sp	Q8T6J1	ABCA6_DICDI			
AIPGENE7390_gene	-0.595	0.020	K05681	ABC transporter	Swiss-Prot	sp	Q9FT51	AB27G_ARATH			
AIPGENE11378_gene	#N/A	0.000	K05692	actin	Swiss-Prot	sp	P41112	ACT1_PODCA			
AIPGENE12775_gene	-0.098	0.016	K05692	actin	Swiss-Prot	sp	P12716	ACTC_PISOC			
AIPGENE12816_gene	0.118	#N/A	K05692	actin	Swiss-Prot	sp	P15475	ACTB_XENBO			
AIPGENE21682_gene	0.012	-0.237	K05692	actin	Swiss-Prot	sp	P02576	ACTA_PHYPO			
AIPGENE7998_gene	-0.607	0.000	K05692	actin	Swiss-Prot	sp	P12716	ACTC_PISOC			
AIPGENE8252_gene	-0.218	#N/A	K05692	actin	Swiss-Prot	sp	Q964E3	ACTC_BIOAL			
AIPGENE9142_gene	-0.277	#N/A	K05692	actin	Swiss-Prot	sp	P12716	ACTC_PISOC			
AIPGENE9147_gene	-0.142	#N/A	K05692	actin	Swiss-Prot	sp	P12716	ACTC_PISOC			
AIPGENE26699_gene	#N/A	0.000	K04456	AKT	Swiss-Prot	sp	Q9WUA6	AKT3_MOUSE			
AIPGENE26713_gene	-0.060	0.000	K04456	AKT	Swiss-Prot	sp	Q9WUA6	AKT3_MOUSE			
AIPGENE27094_gene	#N/A	-0.161	K04456	AKT	Swiss-Prot	sp	P54644	KRAC_DICDI			
AIPGENE27095_gene	0.039	#N/A	K04456	AKT	Swiss-Prot	sp	P54644	KRAC_DICDI			
AIPGENE17161_gene	#N/A	0.000	K00002	Alcohol dehydrogenase	Swiss-Prot	sp	Q6AZW2	A1A1A_DANRE			
AIPGENE7325_gene	#N/A	0.000	K00121	Alcohol dehydrogenase	Swiss-Prot	sp	P81431	ADHX_OCTVU			
AIPGENE7330_gene	0.497	0.000	K00121	Alcohol dehydrogenase	Swiss-Prot	sp	P79896	ADHX_SPAAU			
AIPGENE12727_gene	0.401	0.000	K00128	Aldehyde dehydrogenase	Swiss-Prot	sp	P47739	AL3A1_MOUSE			
AIPGENE19640_gene	0.737	#N/A	K00128	Aldehyde dehydrogenase	Swiss-Prot	sp	P43353	AL3B1_HUMAN			
AIPGENE20178_gene	-0.010	0.000	K00149	aldehyde dehydrogenase	Swiss-Prot	sp	P56533	BADH_GADMC			
AIPGENE21328_gene	#N/A	#N/A	K00128	Aldehyde dehydrogenase	Swiss-Prot	sp	A6QR56	A16A1_BOVIN			
AIPGENE21594_gene	0.321	0.000	K00128	Aldehyde dehydrogenase	Swiss-Prot	sp	P43353	AL3B1_HUMAN			
AIPGENE21619_gene	1.252	#N/A	K00128	Aldehyde dehydrogenase	Swiss-Prot	sp	P43353	AL3B1_HUMAN			
